Date,Pollutant Name,Avg AQI
19760901,Carbon monoxide,22.0
19760902,Carbon monoxide,24.0
19760903,Carbon monoxide,13.0
19760904,Carbon monoxide,35.0
19760905,Carbon monoxide,40.0
19760906,Carbon monoxide,36.0
19760907,Carbon monoxide,41.0
19760908,Carbon monoxide,25.0
19760909,Carbon monoxide,27.0
19760910,Carbon monoxide,30.0
19760911,Carbon monoxide,10.0
19760912,Carbon monoxide,27.0
19760913,Carbon monoxide,30.0
19760914,Carbon monoxide,30.0
19760915,Carbon monoxide,30.0
19760916,Carbon monoxide,22.0
19760917,Carbon monoxide,20.0
19760918,Carbon monoxide,22.0
19760919,Carbon monoxide,30.0
19760920,Carbon monoxide,26.0
19760921,Carbon monoxide,20.0
19760922,Carbon monoxide,8.0
19760923,Carbon monoxide,24.0
19760924,Carbon monoxide,28.0
19760925,Carbon monoxide,31.0
19760926,Carbon monoxide,26.0
19760927,Carbon monoxide,32.0
19760928,Carbon monoxide,28.0
19760929,Carbon monoxide,40.0
19760930,Carbon monoxide,41.0
19770810,Carbon monoxide,14.0
19770811,Carbon monoxide,13.0
19770812,Carbon monoxide,16.0
19770813,Carbon monoxide,15.0
19770814,Carbon monoxide,16.0
19770815,Carbon monoxide,28.0
19770816,Carbon monoxide,32.0
19770817,Carbon monoxide,31.0
19770818,Carbon monoxide,20.0
19770819,Carbon monoxide,11.0
19770820,Carbon monoxide,13.0
19770821,Carbon monoxide,13.0
19770822,Carbon monoxide,17.0
19770823,Carbon monoxide,15.0
19770824,Carbon monoxide,19.0
19770825,Carbon monoxide,16.0
19770826,Carbon monoxide,7.0
19770827,Carbon monoxide,16.0
19770828,Carbon monoxide,17.0
19770829,Carbon monoxide,32.0
19770830,Carbon monoxide,33.0
19770831,Carbon monoxide,31.0
19770901,Carbon monoxide,34.0
19771001,Carbon monoxide,38.0
19771002,Carbon monoxide,41.0
19771003,Carbon monoxide,49.0
19771004,Carbon monoxide,51.0
19771005,Carbon monoxide,24.0
19771006,Carbon monoxide,22.0
19771007,Carbon monoxide,24.0
19771008,Carbon monoxide,15.0
19771012,Carbon monoxide,59.0
19771013,Carbon monoxide,60.0
19771014,Carbon monoxide,65.0
19771015,Carbon monoxide,70.0
19771016,Carbon monoxide,49.0
19771017,Carbon monoxide,33.0
19771018,Carbon monoxide,35.0
19771019,Carbon monoxide,40.0
19771020,Carbon monoxide,36.0
19771021,Carbon monoxide,20.0
19771022,Carbon monoxide,39.0
19771023,Carbon monoxide,44.0
19771024,Carbon monoxide,49.0
19771025,Carbon monoxide,43.0
19771026,Carbon monoxide,39.0
19771027,Carbon monoxide,38.0
19771028,Carbon monoxide,43.0
19771029,Carbon monoxide,44.0
19771030,Carbon monoxide,16.0
19771031,Carbon monoxide,18.0
19771101,Carbon monoxide,28.0
19771102,Carbon monoxide,49.0
19771103,Carbon monoxide,66.0
19771104,Carbon monoxide,80.0
19771105,Carbon monoxide,81.0
19771106,Carbon monoxide,10.0
19771107,Carbon monoxide,28.0
19771108,Carbon monoxide,26.0
19771109,Carbon monoxide,26.0
19771110,Carbon monoxide,41.0
19771111,Carbon monoxide,57.0
19771112,Carbon monoxide,61.0
19771113,Carbon monoxide,47.0
19771114,Carbon monoxide,39.0
19771115,Carbon monoxide,41.0
19771116,Carbon monoxide,74.0
19771117,Carbon monoxide,80.0
19771118,Carbon monoxide,77.0
19771119,Carbon monoxide,15.0
19771120,Carbon monoxide,14.0
19771121,Carbon monoxide,31.0
19771122,Carbon monoxide,94.0
19771123,Carbon monoxide,100.0
19771124,Carbon monoxide,44.0
19771125,Carbon monoxide,40.0
19771126,Carbon monoxide,44.0
19771127,Carbon monoxide,49.0
19771128,Carbon monoxide,27.0
19771129,Carbon monoxide,26.0
19771130,Carbon monoxide,35.0
19771201,Carbon monoxide,30.0
19771202,Carbon monoxide,44.0
19771203,Carbon monoxide,44.0
19771204,Carbon monoxide,35.0
19771205,Carbon monoxide,34.0
19771206,Carbon monoxide,47.0
19771207,Carbon monoxide,58.0
19771208,Carbon monoxide,61.0
19771209,Carbon monoxide,75.0
19771210,Carbon monoxide,81.0
19771211,Carbon monoxide,62.0
19771212,Carbon monoxide,47.0
19771213,Carbon monoxide,52.0
19771214,Carbon monoxide,61.0
19771215,Carbon monoxide,64.0
19771216,Carbon monoxide,27.0
19771217,Carbon monoxide,27.0
19771218,Carbon monoxide,30.0
19771219,Carbon monoxide,33.0
19771220,Carbon monoxide,28.0
19771221,Carbon monoxide,19.0
19771222,Carbon monoxide,38.0
19771223,Carbon monoxide,47.0
19771224,Carbon monoxide,59.0
19771225,Carbon monoxide,69.0
19771226,Carbon monoxide,47.0
19771227,Carbon monoxide,39.0
19771228,Carbon monoxide,44.0
19771229,Carbon monoxide,45.0
19771230,Carbon monoxide,39.0
19771231,Carbon monoxide,33.0
19780101,Carbon monoxide,16.0
19780102,Carbon monoxide,16.0
19780103,Carbon monoxide,32.0
19780104,Carbon monoxide,25.0
19780109,Carbon monoxide,23.0
19780110,Carbon monoxide,38.0
19780111,Carbon monoxide,30.0
19780113,Carbon monoxide,44.0
19780114,Carbon monoxide,44.0
19780115,Carbon monoxide,17.0
19780116,Carbon monoxide,42.0
19780117,Carbon monoxide,34.0
19780118,Carbon monoxide,24.0
19780119,Carbon monoxide,27.0
19780120,Carbon monoxide,26.0
19780121,Carbon monoxide,17.0
19780122,Carbon monoxide,11.0
19780123,Carbon monoxide,36.0
19780124,Carbon monoxide,36.0
19780125,Carbon monoxide,31.0
19780126,Carbon monoxide,33.0
19780127,Carbon monoxide,35.0
19780128,Carbon monoxide,30.0
19780129,Carbon monoxide,14.0
19780130,Carbon monoxide,39.0
19780131,Carbon monoxide,36.0
19780201,Carbon monoxide,47.0
19780202,Carbon monoxide,49.0
19780203,Carbon monoxide,31.0
19780204,Carbon monoxide,26.0
19780205,Carbon monoxide,22.0
19780206,Carbon monoxide,42.0
19780207,Carbon monoxide,32.0
19780208,Carbon monoxide,45.0
19780209,Carbon monoxide,49.0
19780210,Carbon monoxide,19.0
19780211,Carbon monoxide,20.0
19780212,Carbon monoxide,16.0
19780213,Carbon monoxide,23.0
19780214,Carbon monoxide,24.0
19780215,Carbon monoxide,22.0
19780216,Carbon monoxide,25.0
19780217,Carbon monoxide,24.0
19780218,Carbon monoxide,19.0
19780219,Carbon monoxide,10.0
19780220,Carbon monoxide,17.0
19780221,Carbon monoxide,35.0
19780222,Carbon monoxide,38.0
19780223,Carbon monoxide,35.0
19780224,Carbon monoxide,33.0
19780225,Carbon monoxide,34.0
19780226,Carbon monoxide,33.0
19780227,Carbon monoxide,33.0
19780228,Carbon monoxide,24.0
19780301,Carbon monoxide,32.0
19780302,Carbon monoxide,25.0
19780303,Carbon monoxide,27.0
