Date,Pollutant Name,Avg AQI
19860306,PM10 Total 0-10um STP,35.0
19860309,PM10 Total 0-10um STP,12.0
19860312,PM10 Total 0-10um STP,13.0
19860315,PM10 Total 0-10um STP,18.0
19860318,PM10 Total 0-10um STP,53.0
19860321,PM10 Total 0-10um STP,63.0
19860327,PM10 Total 0-10um STP,53.0
19860402,PM10 Total 0-10um STP,9.0
19860405,PM10 Total 0-10um STP,108.0
19860408,PM10 Total 0-10um STP,94.5
19860411,PM10 Total 0-10um STP,71.5
19860412,PM10 Total 0-10um STP,67.0
19860417,PM10 Total 0-10um STP,15.5
19860420,PM10 Total 0-10um STP,22.5
19860423,PM10 Total 0-10um STP,11.0
19860429,PM10 Total 0-10um STP,19.5
19860502,PM10 Total 0-10um STP,30.5
19860508,PM10 Total 0-10um STP,10.5
19860514,PM10 Total 0-10um STP,20.0
19860517,PM10 Total 0-10um STP,11.5
19860520,PM10 Total 0-10um STP,19.5
19860523,PM10 Total 0-10um STP,20.5
19860529,PM10 Total 0-10um STP,33.0
19860601,PM10 Total 0-10um STP,19.5
19860604,PM10 Total 0-10um STP,17.0
19860607,PM10 Total 0-10um STP,23.5
19860610,PM10 Total 0-10um STP,12.0
19860613,PM10 Total 0-10um STP,25.0
19860619,PM10 Total 0-10um STP,20.5
19860625,PM10 Total 0-10um STP,17.5
19860628,PM10 Total 0-10um STP,24.0
19860701,PM10 Total 0-10um STP,25.5
19860704,PM10 Total 0-10um STP,8.0
19860707,PM10 Total 0-10um STP,9.0
19860710,PM10 Total 0-10um STP,18.5
19860713,PM10 Total 0-10um STP,23.0
19860716,PM10 Total 0-10um STP,18.0
19860719,PM10 Total 0-10um STP,19.0
19860720,PM10 Total 0-10um STP,17.0
19860722,PM10 Total 0-10um STP,16.5
19860725,PM10 Total 0-10um STP,14.5
19860731,PM10 Total 0-10um STP,24.5
19860806,PM10 Total 0-10um STP,14.5
19860809,PM10 Total 0-10um STP,16.5
19860812,PM10 Total 0-10um STP,16.0
19860815,PM10 Total 0-10um STP,21.5
19860821,PM10 Total 0-10um STP,20.0
19860824,PM10 Total 0-10um STP,14.5
19860905,PM10 Total 0-10um STP,63.0
19860913,PM10 Total 0-10um STP,19.0
19860917,PM10 Total 0-10um STP,24.5
19860920,PM10 Total 0-10um STP,18.5
19860923,PM10 Total 0-10um STP,13.0
19860926,PM10 Total 0-10um STP,10.0
19861002,PM10 Total 0-10um STP,17.5
19861005,PM10 Total 0-10um STP,26.0
19861008,PM10 Total 0-10um STP,19.0
19861011,PM10 Total 0-10um STP,9.0
19861017,PM10 Total 0-10um STP,24.0
19861023,PM10 Total 0-10um STP,22.0
19861026,PM10 Total 0-10um STP,23.0
19861029,PM10 Total 0-10um STP,28.5
19861104,PM10 Total 0-10um STP,19.0
19861110,PM10 Total 0-10um STP,30.5
19861116,PM10 Total 0-10um STP,35.0
19861122,PM10 Total 0-10um STP,12.5
19861128,PM10 Total 0-10um STP,41.0
19861204,PM10 Total 0-10um STP,49.5
19861210,PM10 Total 0-10um STP,22.5
19861216,PM10 Total 0-10um STP,57.5
19861222,PM10 Total 0-10um STP,33.5
19861228,PM10 Total 0-10um STP,37.0
19870103,PM10 Total 0-10um STP,22.5
19870109,PM10 Total 0-10um STP,36.5
19870115,PM10 Total 0-10um STP,29.5
19870121,PM10 Total 0-10um STP,40.0
19870127,PM10 Total 0-10um STP,55.0
19870202,PM10 Total 0-10um STP,58.0
19870208,PM10 Total 0-10um STP,48.0
19870214,PM10 Total 0-10um STP,7.5
19870220,PM10 Total 0-10um STP,26.5
19870226,PM10 Total 0-10um STP,15.5
19870303,PM10 Total 0-10um STP,19.0
19870304,PM10 Total 0-10um STP,34.0
19870310,PM10 Total 0-10um STP,22.0
19870316,PM10 Total 0-10um STP,10.0
19870322,PM10 Total 0-10um STP,8.0
19870328,PM10 Total 0-10um STP,11.0
19870403,PM10 Total 0-10um STP,31.0
19870409,PM10 Total 0-10um STP,20.5
19870415,PM10 Total 0-10um STP,21.0
19870421,PM10 Total 0-10um STP,22.5
19870427,PM10 Total 0-10um STP,16.5
19870503,PM10 Total 0-10um STP,8.0
19870509,PM10 Total 0-10um STP,17.5
19870515,PM10 Total 0-10um STP,14.0
19870521,PM10 Total 0-10um STP,7.0
19870527,PM10 Total 0-10um STP,22.5
19870602,PM10 Total 0-10um STP,24.0
19870608,PM10 Total 0-10um STP,13.0
19870614,PM10 Total 0-10um STP,20.0
19870620,PM10 Total 0-10um STP,23.0
19870626,PM10 Total 0-10um STP,31.5
19870702,PM10 Total 0-10um STP,20.5
19870708,PM10 Total 0-10um STP,25.0
19870714,PM10 Total 0-10um STP,18.0
19870720,PM10 Total 0-10um STP,15.5
19870726,PM10 Total 0-10um STP,15.0
19870801,PM10 Total 0-10um STP,17.0
19870807,PM10 Total 0-10um STP,14.0
19870813,PM10 Total 0-10um STP,19.5
19870819,PM10 Total 0-10um STP,24.0
19870825,PM10 Total 0-10um STP,14.0
19870831,PM10 Total 0-10um STP,25.0
19870906,PM10 Total 0-10um STP,46.5
19870912,PM10 Total 0-10um STP,26.0
19870918,PM10 Total 0-10um STP,19.5
19870924,PM10 Total 0-10um STP,32.5
19870930,PM10 Total 0-10um STP,28.0
19871006,PM10 Total 0-10um STP,38.5
19871012,PM10 Total 0-10um STP,22.5
19871018,PM10 Total 0-10um STP,19.5
19871024,PM10 Total 0-10um STP,14.5
19871030,PM10 Total 0-10um STP,18.0
19871105,PM10 Total 0-10um STP,16.5
19871111,PM10 Total 0-10um STP,36.0
19871113,PM10 Total 0-10um STP,32.0
19871117,PM10 Total 0-10um STP,26.0
19871119,PM10 Total 0-10um STP,34.0
19871121,PM10 Total 0-10um STP,39.0
19871123,PM10 Total 0-10um STP,40.0
19871125,PM10 Total 0-10um STP,26.5
19871127,PM10 Total 0-10um STP,29.5
19871129,PM10 Total 0-10um STP,50.5
19871201,PM10 Total 0-10um STP,49.0
19871203,PM10 Total 0-10um STP,57.5
19871205,PM10 Total 0-10um STP,33.0
19871207,PM10 Total 0-10um STP,23.5
19871209,PM10 Total 0-10um STP,46.5
19871211,PM10 Total 0-10um STP,38.0
19871213,PM10 Total 0-10um STP,8.0
19871219,PM10 Total 0-10um STP,18.0
19871221,PM10 Total 0-10um STP,35.0
19871223,PM10 Total 0-10um STP,13.5
19871225,PM10 Total 0-10um STP,15.0
19871227,PM10 Total 0-10um STP,18.0
