Year,Max AQI
1976-01-01,39.6
1977-01-01,87.2
1978-01-01,95.2
1979-01-01,43.8
1980-01-01,63.4
1981-01-01,85.6
1982-01-01,74.8
1983-01-01,136.8
1984-01-01,66.0
1985-01-01,64.8
1986-01-01,101.7
1987-01-01,96.4
1988-01-01,80.6
1989-01-01,72.6
1990-01-01,66.7
1991-01-01,89.6
1992-01-01,85.4
1993-01-01,66.0
1994-01-01,71.0
1995-01-01,58.8
1996-01-01,69.0
1997-01-01,61.8
1998-01-01,60.8
1999-01-01,75.0
2000-01-01,70.7
2001-01-01,70.2
2002-01-01,72.0
2003-01-01,75.1
2004-01-01,96.2
2005-01-01,81.2
2006-01-01,103.8
2007-01-01,97.4
2008-01-01,100.2
2009-01-01,126.6
2010-01-01,108.01333333333335
2011-01-01,94.51111111111109
2012-01-01,106.11666666666665
2013-01-01,110.2
2014-01-01,83.1
2015-01-01,91.90666666666667
2016-01-01,89.9
2017-01-01,89.2
2018-01-01,105.93333333333335
2019-01-01,81.6
2020-01-01,100.2
2021-01-01,108.2
2022-01-01,90.2
2023-01-01,71.2
